Zeit t / s,Spannung U_A1 / V,Weg &b_B1 / rad
0,0.199,0
0.0998855000000001,0.2195,0
0.199791,0.2165,0
0.2986,0.217,0
0.399869499999999,0.19,0
0.49882425,0.184,0
0.5997905,0.204,0
0.6997,0.1895,0
0.799905499999999,0.202,0
0.8999735,0.1825,0
0.99978625,0.1875,0
1.10174225,0.2035,0
1.1986885,0.1905,0
1.2996505,0.1775,0
1.39850675,0.1665,0
1.49767125,0.1855,0
1.60073225,0.179,0
1.69969125,0.175,0
1.79855225,0.1625,0
1.89987275,0.1615,0
1.9997295,0.1705,0
2.10148825,0.1765,0
2.20071075,0.1825,0
2.30058,0.1575,0
2.39841225,0.1625,0
2.498591,0.1695,0
2.5995695,0.168,0
2.699807,0.172,0
2.79864225,0.159,0
2.898442,0.1785,0
3.00063475,0.1475,0
3.09958675,0.1615,0
3.19838,0.1675,0
3.2985,0.1365,0
3.39835225,0.17,0
3.49854625,0.1695,0
3.59967875,0.178,0
3.69842825,0.1595,0
3.7992915,0.1795,0
3.90107475,0.188,0.1
3.9983095,0.178,0.23
4.10024425,0.159,0.42
4.19847225,0.1915,0.81
4.3003505,0.1825,1.25
4.4002285,0.1695,1.65
4.49920825,0.176,1.87
4.5992485,0.1765,2.05
4.6996135,0.182,2.27
4.79825875,0.1935,2.51
4.8991495,0.167,2.73
4.99962125,0.1835,3
5.098258,0.17,3.3
5.1992935,0.182,3.68
5.30035125,0.178,3.95
5.400407,0.1775,4.03
5.49844225,0.1915,4.22
5.59836225,0.1675,4.29
5.69924675,0.179,4.36
5.80040575,0.1675,4.36
5.89951375,0.1855,4.57
5.999131,0.1905,5.21
6.1011335,0.177,5.76
6.1981535,0.185,6.25
6.2983095,0.18,6.63
6.40134325,0.1725,6.96
6.50136425,0.193,7.32
6.59830325,0.19,7.52
6.69821475,0.194,7.62
6.79804425,0.212,7.74
6.90030225,0.234,7.88
7.000987,0.2495,8.22
7.09899225,0.2415,8.6
7.20006675,0.251,8.99
7.30006825,0.2635,9.35
7.399204,0.2645,9.77
7.501285,0.2925,10.17
7.599042,0.2895,10.56
7.70000675,0.2855,10.91
7.79898,0.2905,11.24
7.899065,0.293,11.57
7.99924575,0.289,11.93
8.09912225,0.3235,12.21
8.1989285,0.3115,12.46
8.30105225,0.3045,12.68
8.39996425,0.2945,12.91
8.50116025,0.309,13.15
8.60012225,0.31,13.39
8.69914225,0.3135,13.77
8.80002425,0.3145,14.19
8.9009295,0.3075,14.56
9.0018695,0.3,14.93
9.1019085,0.304,15.27
9.20099225,0.287,15.59
9.2990615,0.292,15.96
9.39996725,0.288,16.32
9.4989295,0.2625,16.63
9.6000305,0.2595,17.17
9.69983225,0.2445,17.76
9.798058,0.212,18.32
9.89891225,0.1735,18.77
9.99899225,0.1545,19.15
10.1,0.149,19.51
10.1998135,0.154,19.82
10.30000675,0.153,20.12
10.39882675,0.151,20.4
10.49897475,0.133,20.69
10.5987495,0.1355,20.92
10.69890425,0.134,21.15
10.7988095,0.148,21.43
10.9017295,0.1435,21.75
10.99988625,0.1675,22.05
11.0998725,0.1515,22.44
11.1998295,0.173,22.84
11.30068625,0.2145,23.31
11.4001085,0.229,23.92
11.50194675,0.247,24.61
11.600122,0.2935,25.32
11.69888575,0.2775,25.9
11.79975125,0.293,26.43
11.89972125,0.2985,26.85
11.99982425,0.29,27.3
12.098811,0.2705,27.62
12.20086225,0.2515,27.89
12.29870575,0.2245,28.14
12.39858,0.222,28.28
12.49774675,0.2205,28.47
12.59982675,0.184,28.77
12.69864425,0.1715,29.13
12.797518,0.146,29.45
12.89846425,0.1615,29.82
13.00056825,0.1545,30.25
13.09981075,0.1585,30.6
13.19858875,0.1565,30.82
13.29868425,0.165,31.04
13.3996505,0.163,31.3
13.4985535,0.162,31.57
13.60050675,0.1755,31.84
13.6998,0.211,32.19
13.79758425,0.2435,32.62
13.89968675,0.2665,33.05
14.00064,0.2885,33.38
14.09978,0.283,33.64
14.20059075,0.2815,33.78
14.2995855,0.319,33.99
14.4005905,0.3,34.31
14.4997305,0.274,34.67
14.59844925,0.2805,35.02
14.6995495,0.2665,35.44
14.80038675,0.239,35.79
14.89960575,0.1905,36.09
15.0016855,0.1765,36.4
15.09848225,0.165,36.74
15.20058575,0.182,37.13
15.29984125,0.158,37.55
15.39956125,0.145,37.87
15.50051,0.2295,38.33
15.599646,0.1825,38.77
15.70146675,0.198,38.98
15.80224675,0.229,39.29
15.90145225,0.261,39.71
16.00040525,0.2835,40.17
16.1012305,0.3,40.59
16.19960525,0.2985,40.97
16.30047225,0.242,41.21
16.40048225,0.2255,41.53
16.50042575,0.238,41.9
16.60028625,0.2045,42.27
16.70036425,0.1785,42.59
16.8001735,0.1425,42.95
16.89912425,0.139,43.27
16.999545,0.1275,43.64
17.10020525,0.1605,44.08
17.2005,0.2085,44.45
17.30112575,0.22,44.74
17.39920625,0.264,45.08
17.49908675,0.2725,45.54
17.601167,0.3095,46.02
17.701214,0.2735,46.47
17.79923475,0.241,46.85
17.899264,0.2045,47.24
18.000107,0.2085,47.77
18.10018825,0.1425,48.36
18.201251,0.1835,48.92
18.29952075,0.209,49.46
18.39908,0.2585,49.98
18.5001255,0.299,50.48
18.599244,0.3085,50.8
18.69924,0.271,51.05
18.80005475,0.2885,51.33
18.9001095,0.2665,51.52
18.9992695,0.247,51.69
19.10022425,0.242,51.84
19.200191,0.2035,52.04
19.3022295,0.1915,52.3
19.399,0.181,52.55
19.49990675,0.1605,52.76
19.60023075,0.1405,52.96
19.70114675,0.1545,53.23
19.802111,0.139,53.46
19.90004625,0.1485,53.64
20.00108675,0.1605,53.78
20.10002675,0.1835,53.94
20.199084,0.1735,54.08
20.300044,0.1755,54.3
20.4010935,0.2235,54.58
20.49990825,0.2575,54.86
20.5980335,0.2665,55.15
20.6989655,0.298,55.39
20.7988295,0.2955,55.59
20.90082825,0.309,55.79
21.00098625,0.2985,55.95
21.09983475,0.2855,56.09
21.19996675,0.245,56.35
21.2997695,0.1955,56.68
21.40198325,0.1675,57.04
21.49877225,0.1545,57.34
21.59882225,0.171,57.65
21.7008695,0.176,58.01
21.799964,0.2265,58.51
21.90086,0.2845,59
22.0007735,0.2815,59.6
22.10101075,0.2115,60.25
22.20108325,0.1535,60.82
22.30082425,0.149,61.39
22.39988125,0.174,61.9
22.4999495,0.229,62.24
22.6028735,0.2745,62.66
22.7019285,0.2855,63.06
22.7999135,0.28,63.47
22.90074675,0.254,63.87
22.999861,0.2425,64.07
23.09986925,0.208,64.22
23.201811,0.2225,64.41
23.30000425,0.192,64.63
23.400665,0.1785,64.89
23.50091075,0.1515,65.18
23.60171075,0.1495,65.44
23.70070425,0.1675,65.63
23.80077075,0.172,65.85
23.9005735,0.198,66.08
24.00050425,0.2075,66.25
24.10077025,0.217,66.4
24.20058675,0.273,66.58
24.30050425,0.2755,66.75
24.40152425,0.31,66.96
24.49971475,0.3035,67.18
24.59984425,0.281,67.4
24.70068575,0.253,67.55
24.8007495,0.2505,67.72
24.89992225,0.2,67.97
24.999722,0.1535,68.27
25.1015135,0.157,68.59
25.20064575,0.152,68.84
25.3015305,0.1785,69.13
25.4016455,0.2195,69.47
25.49983475,0.24,69.83
25.6005335,0.2955,70.3
25.701362,0.1675,70.86
25.79978425,0.1605,71.31
25.90156675,0.134,71.74
26.0014105,0.159,71.94
26.10144625,0.172,72.28
26.20145975,0.2125,72.51
26.30319475,0.281,72.94
26.40132625,0.2825,73.25
26.50046425,0.271,73.6
26.6005095,0.254,73.8
26.701298,0.245,73.95
26.79949125,0.219,74.07
26.9003305,0.2025,74.24
27.0003135,0.188,74.39
27.103547,0.1625,74.71
27.20126225,0.1635,74.97
27.302504,0.203,75.18
27.4003895,0.2135,75.4
27.502307,0.149,75.57
27.601384,0.219,75.79
27.7032095,0.286,76.05
27.79922825,0.2995,76.23
27.90030825,0.2805,76.41
27.9991935,0.3025,76.6
28.1012095,0.292,76.72
28.201325,0.283,76.84
28.30138225,0.2475,77
28.40046225,0.214,77.18
28.5001935,0.211,77.34
28.601364,0.1965,77.53
28.70024,0.1635,77.73
28.79933475,0.1495,77.88
28.9001095,0.1615,78.04
28.99950125,0.1575,78.2
29.102258,0.202,78.39
29.2000895,0.2145,78.58
29.3001335,0.2255,78.78
29.40116425,0.2705,79.03
29.50102825,0.2995,79.31
29.601264,0.2765,79.69
29.701266,0.264,80.09
29.8012095,0.2275,80.52
29.90019475,0.173,80.82
30.0021335,0.1305,81.04
30.10026625,0.152,81.27
30.20202425,0.1815,81.53
30.301191,0.2325,81.82
30.40120425,0.238,82.06
30.4999695,0.271,82.27
30.60215225,0.2765,82.51
30.700962,0.2775,82.76
30.80134225,0.272,83.01
30.90104875,0.229,83.19
31.000982,0.214,83.34
31.10200675,0.195,83.55
31.200991,0.174,83.79
31.30216225,0.176,84.04
31.401024,0.211,84.27
31.5008505,0.2665,84.52
31.602107,0.296,84.8
31.70114,0.3135,85.04
31.80173425,0.2755,85.26
31.90375975,0.269,85.48
32.00104,0.1895,85.71
32.10098625,0.1875,85.94
32.1998535,0.155,86.06
32.30285275,0.163,86.13
32.400894,0.1745,86.34
32.50090225,0.183,86.56
32.600907,0.2385,86.96
32.7038495,0.289,87.24
32.801862,0.3065,87.41
32.9018835,0.31,87.66
33.001,0.2795,87.85
33.10100225,0.2295,88.06
33.2017535,0.216,88.21
33.3009875,0.203,88.33
33.400851,0.201,88.49
33.499858,0.169,88.6
33.60086225,0.17,88.69
33.70068425,0.157,88.81
33.80090225,0.1705,89.06
33.90090425,0.1725,89.15
34.00006675,0.2015,89.33
34.10162425,0.239,89.44
34.2009495,0.2475,89.65
34.30276425,0.302,89.98
34.401824,0.2755,90.32
34.49996225,0.255,90.66
34.6017295,0.2025,90.99
34.70014675,0.1635,91.26
34.8016735,0.153,91.55
34.8999105,0.1705,91.86
35.00167475,0.204,92.07
35.10176675,0.244,92.37
35.20064825,0.28,92.72
35.3005695,0.2935,93.02
35.4006685,0.242,93.24
35.49858,0.2185,93.48
35.600626,0.1965,93.68
35.7016325,0.1675,93.95
35.80002,0.1725,94.27
35.90072425,0.2235,94.55
35.999711,0.278,94.94
36.09984425,0.286,95.37
36.20158625,0.2655,95.73
36.29982675,0.1845,96.12
36.40066825,0.179,96.53
36.500771,0.2075,96.8
36.60065225,0.23,96.89
36.70071475,0.2775,97.03
36.8014895,0.2915,97.24
36.89978425,0.2955,97.41
36.999742,0.277,97.62
37.10052825,0.2525,97.84
37.2024735,0.212,98.03
37.30049475,0.1815,98.23
37.4002275,0.1385,98.44
37.49984625,0.167,98.78
37.6025095,0.2525,99.12
37.70058225,0.264,99.33
37.8024695,0.292,99.52
37.90140675,0.29,99.72
38.000391,0.281,99.92
38.101364,0.2405,100.17
38.20038625,0.204,100.46
38.301302,0.16,100.76
38.39982125,0.176,101.2
38.5013935,0.2295,101.61
38.601441,0.291,102.11
38.69926225,0.2675,102.35
38.80255475,0.2635,102.55
38.89965875,0.2555,102.72
39.00132675,0.2165,102.98
39.1005085,0.1755,103.37
39.2004505,0.188,103.63
39.30138575,0.229,103.96
39.40052425,0.2695,104.28
39.50138625,0.294,104.68
39.60045475,0.229,105.03
39.70123225,0.174,105.38
39.8024085,0.159,105.6
39.900207,0.1625,105.76
40.0032505,0.2205,106.01
40.10026425,0.278,106.29
40.20124825,0.269,106.58
40.3002715,0.2785,106.8
40.40122625,0.2445,107.07
40.501171,0.1795,107.36
40.6023895,0.1605,107.59
40.7022495,0.1555,107.8
40.8002,0.204,108.03
40.9000695,0.2605,108.26
41.002351,0.2585,108.34
41.10010825,0.2705,108.41
41.20032825,0.281,108.43
41.30127125,0.2575,108.43
41.40034825,0.2785,108.47
41.5012535,0.2785,108.6
41.601284,0.2785,108.73
41.70136425,0.2505,109.01
41.8010295,0.212,109.3
41.90098675,0.1625,109.58
42.0010695,0.162,109.8
42.10020575,0.1895,109.87
42.20233475,0.214,109.81
42.3012095,0.1895,109.81
42.4010505,0.1745,109.81
42.50088425,0.186,109.86
42.60015225,0.2015,110.09
42.70214425,0.243,110.37
42.800144,0.306,110.79
42.90083475,0.253,111.22
43.0027145,0.1755,111.59
43.10116425,0.162,111.89
43.19996425,0.1955,112.19
43.29987075,0.2525,112.42
43.40109475,0.29,112.71
43.501051,0.2945,112.99
43.60002575,0.2845,113.36
43.7009885,0.2775,113.87
43.80108425,0.2955,114.4
43.90203075,0.22,114.92
44.0019905,0.165,115.32
44.10110625,0.169,115.78
44.20000425,0.265,116.27
44.30084225,0.271,116.76
44.4007685,0.1555,117.35
44.49998425,0.1945,117.95
44.60088425,0.29,118.44
44.70107475,0.206,118.9
44.802,0.16,119.23
44.89985125,0.1805,119.47
45.00194225,0.227,119.74
45.10091075,0.266,120.05
45.20188425,0.2825,120.5
45.301847,0.1955,121.03
45.40282425,0.201,121.62
45.50070675,0.2795,122.03
45.60270625,0.2825,122.44
45.70091225,0.2235,122.63
45.801887,0.224,122.63
45.90162675,0.219,122.67
46.00186625,0.2065,122.72
46.1038675,0.1815,122.85
46.20383475,0.1655,123.1
46.3007695,0.1565,123.38
46.40374625,0.199,123.64
46.50270675,0.275,123.91
46.60166825,0.28,124.34
46.70164,0.2465,124.51
46.80184225,0.2305,124.66
46.90259125,0.1685,124.93
47.00282425,0.1505,125.16
47.10084325,0.1775,125.5
47.20065,0.217,125.73
47.30056,0.2645,126.06
47.40170675,0.285,126.22
47.5016905,0.2585,126.42
47.60164675,0.1965,126.69
47.701604,0.1665,126.98
47.801702,0.166,127.23
47.90370125,0.1875,127.43
48.00188675,0.2705,127.72
48.10152675,0.278,128.05
48.20246525,0.2235,128.33
48.3015515,0.185,128.64
48.40168425,0.161,128.9
48.50183475,0.18,129.08
48.60065075,0.2205,129.28
48.70046625,0.27,129.5
48.8015895,0.281,129.72
48.90150425,0.2925,129.93
49.00166425,0.2335,130.17
49.10046525,0.159,130.49
49.201442,0.208,130.96
49.3024285,0.304,131.41
49.40147075,0.198,131.87
49.50171475,0.1735,132.19
49.601362,0.1625,132.42
49.70134675,0.1735,132.51
49.80146425,0.242,132.51
49.90152425,0.187,132.69
50.00149075,0.2585,132.95
50.10047475,0.262,133.39
50.20135075,0.174,133.96
50.3014,0.2475,134.48
50.40150575,0.2905,134.72
50.502247,0.2705,134.68
50.602307,0.297,134.41
50.70131225,0.3,134.23
50.80148625,0.2785,134.23
50.9013905,0.2905,134.23
51.00146,0.2755,134.47
51.10051425,0.269,134.8
51.20114675,0.1875,135.54
51.300274,0.232,136.23
51.4013855,0.307,136.8
51.50026425,0.1645,137.31
51.60044225,0.155,137.65
51.7021735,0.183,137.84
51.80138425,0.2755,138.11
51.902331,0.287,138.38
52.0021135,0.2585,138.72
52.10410425,0.1615,139.06
52.2022095,0.1585,139.19
52.3012535,0.1815,139.46
52.402284,0.2445,139.81
52.5020695,0.307,140.28
52.60011075,0.1635,140.8
52.70214325,0.2155,141.26
52.8001295,0.2725,141.57
52.9032535,0.255,141.79
53.0023105,0.173,142.13
53.10017125,0.175,142.56
53.20228,0.2535,142.9
53.30110825,0.2805,143.07
53.40327125,0.288,143.11
